moon_ra,  moon_dec, moon_phase_frac, jup_ra, jup_dec
181.58,  3.90, 0.04, 253.62, -22.24
182.04,  3.65, 0.04, 253.62, -22.24
182.54,  3.40, 0.04, 253.63, -22.24
183.10,  3.15, 0.04, 253.63, -22.24
183.71,  2.90, 0.05, 253.63, -22.24
184.37,  2.66, 0.05, 253.64, -22.24
185.08,  2.41, 0.05, 253.64, -22.24
185.82,  2.17, 0.05, 253.64, -22.24
186.60,  1.93, 0.06, 253.64, -22.24
187.39,  1.70, 0.06, 253.65, -22.24
188.18,  1.46, 0.06, 253.65, -22.24
188.96,  1.23, 0.06, 253.65, -22.24
189.72,  0.99, 0.07, 253.65, -22.24
190.45,  0.76, 0.07, 253.66, -22.24
191.13,  0.53, 0.07, 253.66, -22.24
191.76,  0.29, 0.07, 253.66, -22.25
192.34,  0.05, 0.08, 253.67, -22.25
192.86,  -0.19, 0.08, 253.67, -22.25
193.33,  -0.43, 0.08, 253.67, -22.25
193.76,  -0.67, 0.08, 253.67, -22.25
194.14,  -0.91, 0.09, 253.68, -22.25
194.51,  -1.16, 0.09, 253.68, -22.25
194.86,  -1.40, 0.09, 253.68, -22.25
195.22,  -1.63, 0.10, 253.69, -22.25
195.59,  -1.87, 0.10, 253.69, -22.25
195.99,  -2.10, 0.10, 253.69, -22.25
196.44,  -2.33, 0.10, 253.69, -22.25
196.94,  -2.56, 0.11, 253.70, -22.25
197.48,  -2.79, 0.11, 253.70, -22.25
198.09,  -3.01, 0.11, 253.70, -22.25
198.74,  -3.23, 0.12, 253.71, -22.25
199.44,  -3.45, 0.12, 253.71, -22.25
200.17,  -3.67, 0.12, 253.71, -22.25
200.93,  -3.89, 0.13, 253.71, -22.25
201.71,  -4.12, 0.13, 253.72, -22.25
202.49,  -4.35, 0.13, 253.72, -22.25
203.25,  -4.58, 0.14, 253.72, -22.25
204.00,  -4.82, 0.14, 253.73, -22.25
204.70,  -5.06, 0.14, 253.73, -22.26
205.37,  -5.30, 0.15, 253.73, -22.26
205.98,  -5.55, 0.15, 253.74, -22.26
206.54,  -5.80, 0.15, 253.74, -22.26
207.05,  -6.05, 0.16, 253.74, -22.26
207.51,  -6.29, 0.16, 253.74, -22.26
207.92,  -6.54, 0.17, 253.75, -22.26
208.29,  -6.77, 0.17, 253.75, -22.26
208.65,  -7.01, 0.17, 253.75, -22.26
208.99,  -7.23, 0.18, 253.76, -22.26
209.34,  -7.45, 0.18, 253.76, -22.26
209.71,  -7.66, 0.18, 253.76, -22.26
210.12,  -7.86, 0.19, 253.77, -22.26
210.56,  -8.05, 0.19, 253.77, -22.26
211.06,  -8.24, 0.20, 253.77, -22.26
211.60,  -8.43, 0.20, 253.77, -22.26
212.21,  -8.61, 0.20, 253.78, -22.26
212.86,  -8.79, 0.21, 253.78, -22.26
213.56,  -8.98, 0.21, 253.78, -22.26
214.29,  -9.17, 0.22, 253.79, -22.26
215.05,  -9.36, 0.22, 253.79, -22.26
215.82,  -9.56, 0.22, 253.79, -22.26
216.59,  -9.77, 0.23, 253.80, -22.26
217.35,  -9.99, 0.23, 253.80, -22.27
218.08,  -10.22, 0.24, 253.80, -22.27
218.78,  -10.45, 0.24, 253.80, -22.27
219.43,  -10.68, 0.24, 253.81, -22.27
220.04,  -10.93, 0.25, 253.81, -22.27
220.59,  -11.17, 0.25, 253.81, -22.27
221.08,  -11.41, 0.26, 253.82, -22.27
221.53,  -11.64, 0.26, 253.82, -22.27
221.93,  -11.87, 0.26, 253.82, -22.27
222.30,  -12.09, 0.27, 253.83, -22.27
222.65,  -12.30, 0.27, 253.83, -22.27
223.00,  -12.49, 0.28, 253.83, -22.27
223.35,  -12.67, 0.28, 253.84, -22.27
223.72,  -12.84, 0.29, 253.84, -22.27
224.13,  -13.00, 0.29, 253.84, -22.27
224.58,  -13.15, 0.29, 253.85, -22.27
225.08,  -13.29, 0.30, 253.85, -22.27
225.63,  -13.42, 0.30, 253.85, -22.27
226.24,  -13.56, 0.31, 253.85, -22.27
226.90,  -13.69, 0.31, 253.86, -22.27
227.60,  -13.84, 0.32, 253.86, -22.27
228.34,  -13.99, 0.32, 253.86, -22.27
229.10,  -14.14, 0.32, 253.87, -22.27
229.87,  -14.31, 0.33, 253.87, -22.28
230.64,  -14.49, 0.33, 253.87, -22.28
231.40,  -14.68, 0.34, 253.88, -22.28
232.13,  -14.89, 0.34, 253.88, -22.28
232.82,  -15.10, 0.35, 253.88, -22.28
233.47,  -15.31, 0.35, 253.89, -22.28
234.07,  -15.53, 0.36, 253.89, -22.28
234.61,  -15.75, 0.36, 253.89, -22.28
235.10,  -15.97, 0.36, 253.90, -22.28
235.54,  -16.18, 0.37, 253.90, -22.28
235.94,  -16.38, 0.37, 253.90, -22.28
236.31,  -16.57, 0.38, 253.91, -22.28
236.66,  -16.74, 0.38, 253.91, -22.28
237.01,  -16.89, 0.39, 253.91, -22.28
237.36,  -17.03, 0.39, 253.92, -22.28
237.74,  -17.15, 0.40, 253.92, -22.28
238.15,  -17.25, 0.40, 253.92, -22.28
238.61,  -17.35, 0.40, 253.93, -22.28
239.12,  -17.43, 0.41, 253.93, -22.28
239.69,  -17.52, 0.41, 253.93, -22.28
240.30,  -17.60, 0.42, 253.93, -22.28
240.97,  -17.69, 0.42, 253.94, -22.28
241.68,  -17.78, 0.43, 253.94, -22.29
242.43,  -17.88, 0.43, 253.94, -22.29
243.19,  -18.00, 0.44, 253.95, -22.29
243.97,  -18.13, 0.44, 253.95, -22.29
244.74,  -18.27, 0.44, 253.96, -22.29
245.50,  -18.42, 0.45, 253.96, -22.29
246.23,  -18.59, 0.45, 253.96, -22.29
246.92,  -18.77, 0.46, 253.97, -22.29
247.57,  -18.96, 0.46, 253.97, -22.29
248.16,  -19.15, 0.47, 253.97, -22.29
248.70,  -19.33, 0.47, 253.98, -22.29
249.19,  -19.52, 0.48, 253.98, -22.29
249.62,  -19.69, 0.48, 253.98, -22.29
250.02,  -19.85, 0.48, 253.99, -22.29
250.39,  -19.99, 0.49, 253.99, -22.29
250.74,  -20.12, 0.49, 253.99, -22.29
251.08,  -20.22, 0.50, 254.00, -22.29
251.44,  -20.31, 0.50, 254.00, -22.29
251.83,  -20.38, 0.51, 254.00, -22.29
252.25,  -20.43, 0.51, 254.01, -22.29
252.72,  -20.47, 0.52, 254.01, -22.29
253.24,  -20.50, 0.52, 254.01, -22.30
253.81,  -20.53, 0.52, 254.02, -22.30
254.44,  -20.56, 0.53, 254.02, -22.30
255.11,  -20.59, 0.53, 254.02, -22.30
255.83,  -20.63, 0.54, 254.03, -22.30
256.58,  -20.69, 0.54, 254.03, -22.30
257.35,  -20.76, 0.55, 254.03, -22.30
258.13,  -20.84, 0.55, 254.04, -22.30
258.90,  -20.94, 0.55, 254.04, -22.30
259.66,  -21.06, 0.56, 254.04, -22.30
260.39,  -21.18, 0.56, 254.05, -22.30
261.07,  -21.32, 0.57, 254.05, -22.30
261.71,  -21.47, 0.57, 254.05, -22.30
262.30,  -21.62, 0.58, 254.06, -22.30
262.83,  -21.76, 0.58, 254.06, -22.30
263.31,  -21.90, 0.58, 254.06, -22.30
263.75,  -22.03, 0.59, 254.07, -22.30
264.14,  -22.15, 0.59, 254.07, -22.30
264.50,  -22.24, 0.60, 254.07, -22.30
264.85,  -22.32, 0.60, 254.08, -22.30
265.20,  -22.37, 0.61, 254.08, -22.30
265.56,  -22.40, 0.61, 254.09, -22.31
265.95,  -22.41, 0.61, 254.09, -22.31
266.38,  -22.41, 0.62, 254.09, -22.31
266.85,  -22.40, 0.62, 254.10, -22.31
267.38,  -22.37, 0.63, 254.10, -22.31
267.96,  -22.35, 0.63, 254.10, -22.31
268.59,  -22.32, 0.63, 254.11, -22.31
269.27,  -22.31, 0.64, 254.11, -22.31
269.99,  -22.30, 0.64, 254.11, -22.31
270.74,  -22.31, 0.65, 254.12, -22.31
271.51,  -22.33, 0.65, 254.12, -22.31
272.28,  -22.37, 0.65, 254.12, -22.31
273.05,  -22.42, 0.66, 254.13, -22.31
273.80,  -22.49, 0.66, 254.13, -22.31
274.52,  -22.57, 0.67, 254.14, -22.31
275.20,  -22.67, 0.67, 254.14, -22.31
275.82,  -22.77, 0.67, 254.14, -22.31
276.40,  -22.87, 0.68, 254.15, -22.31
276.92,  -22.97, 0.68, 254.15, -22.31
277.39,  -23.06, 0.69, 254.15, -22.31
277.81,  -23.14, 0.69, 254.16, -22.31
278.19,  -23.21, 0.69, 254.16, -22.32
278.55,  -23.25, 0.70, 254.16, -22.32
